fan_id,city,age_band,discovery_channel,months_since_discovery,monthly_streams,catalog_depth_pct,skip_rate,playlist_adds,saves_library,follows_socials,social_engagements_90d,on_mailing_list,email_open_rate,attended_show,shared_track,comments_dms,became_supporter,supporter_revenue_12m
F200000,Tallinn,40-54,Algorithmic radio,4.9,4,6.0,0.561,2,0,0,0,0,0.0,0,0,0,0,0.0
F200001,London,30-39,Algorithmic radio,10.6,36,91.0,0.038,7,1,1,9,0,0.0,0,0,2,0,0.0
F200002,Madrid,40-54,Another artist's collab,13.2,3,3.0,0.479,0,0,0,0,0,0.0,0,0,0,0,0.0
F200003,Oslo,40-54,Editorial playlist,1.2,9,42.0,0.461,2,0,0,0,0,0.0,1,0,0,0,0.0
F200004,Hamburg,30-39,Editorial playlist,32.9,1,1.0,0.608,0,0,0,0,0,0.0,0,0,0,0,0.0
F200005,Other,30-39,Algorithmic radio,1.7,6,16.0,0.471,3,0,0,0,0,0.0,0,0,0,0,0.0
F200006,Vilnius,22-29,Editorial playlist,19.1,9,24.0,0.356,1,0,1,4,0,0.0,0,1,0,0,0.0
F200007,Tallinn,30-39,Live show,6.4,2,1.0,0.536,2,0,0,0,0,0.0,0,0,0,0,0.0
F200008,Leipzig,22-29,Algorithmic radio,5.7,2,12.0,0.514,0,1,0,0,0,0.0,0,0,0,0,0.0
F200009,Manchester,30-39,Music blog / press,4.9,4,1.0,0.462,0,1,0,0,0,0.0,0,0,0,0,0.0
F200010,London,22-29,Short-form video,3.5,13,59.0,0.27,2,0,0,0,1,0.5,0,0,0,1,22.75
F200011,Milan,30-39,Friend shared,15.4,12,54.0,0.519,1,1,0,0,0,0.0,0,1,1,1,5.0
F200012,Copenhagen,30-39,Music blog / press,1.7,7,40.0,0.466,2,1,0,0,0,0.0,0,0,1,1,14.79
F200013,Barcelona,22-29,Editorial playlist,36.0,3,35.0,0.421,2,0,1,1,0,0.0,0,0,3,0,0.0
F200014,London,30-39,Friend shared,9.6,3,1.0,0.501,0,0,0,0,0,0.0,0,0,0,0,0.0
F200015,Amsterdam,22-29,Friend shared,6.8,3,3.0,0.487,2,0,0,0,0,0.0,0,0,0,0,0.0
F200016,Krakow,30-39,Algorithmic radio,5.2,2,1.0,0.468,0,0,0,0,0,0.0,0,0,0,0,0.0
F200017,Berlin,30-39,Editorial playlist,7.1,1,1.0,0.536,2,1,0,0,0,0.0,0,0,0,0,0.0
